Inserted 990000
Inserted 995000

7 hodin 1M xdd

19991: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19992: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19993: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19994: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19995: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19996: 0  15  23  24  43  54  59  64  65  137  143  163  170  182  189  204
19997: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19998: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
19999: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20000: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20001: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20002: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20003: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20004: 0  15  23  24  43  54  59  64  65  137  143  163  170  182  189  204
20005: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20006: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20007: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20008: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20009: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20010: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20011: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20012: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20013: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20014: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20015: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20016: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20017: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20018: 0  15  23  24  43  54  59  64  65  137  143  163  170  182  189  204
20019: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20020: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20021: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20022: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20023: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20024: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20025: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20026: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20027: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20028: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20029: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20030: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20031: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20032: 0  15  23  24  43  54  59  64  65  137  143  163  170  182  189  204
20033: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20034: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20035: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20036: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20037: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20038: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20039: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20040: 0  15  23  24  43  54  59  64  65  137  143  163  170  182  189  204
20041: 0  15  23  24  43  54  59  64  65  137  143  163  170  182  189  204
20042: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20043: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20044: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20045: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20046: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20047: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20048: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20049: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20050: 0  15  23  24  43  54  59  64  65  137  143  163  170  182  189  204
20051: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20052: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20053: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20054: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20055: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20056: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20057: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20058: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20059: 0  15  23  24  43  54  59  64  65  137  143  163  170  182  189  204
20060: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20061: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20062: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20063: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20064: 0  15  23  24  43  54  59  64  65  137  143  163  170  182  189  204
20065: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20066: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20067: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20068: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20069: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20070: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20071: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20072: 0  15  23  24  43  54  59  64  65  137  143  163  170  182  189  204
20073: 0  15  23  24  43  54  59  64  65  137  143  163  170  182  189  204
20074: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20075: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20076: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20077: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20078: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20079: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20080: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20081: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20082: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20083: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20084: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20085: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20086: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20087: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20088: 0  15  23  24  43  54  59  64  65  137  143  163  170  182  189  204
20089: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20090: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20091: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20092: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20093: 0  15  23  24  43  54  59  64  65  137  143  163  170  182  189  204
20094: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20095: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20096: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20097: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20098: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20099: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20100: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20101: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20102: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20103: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20104: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20105: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20106: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20107: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20108: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20109: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20110: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20111: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
20112: 0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15
